LiST,conductivity,log_con,superionic
Li3P,0.001,-3,1
β-Li3N,0.0002085,-3.680893941,1
⍺-Li3N,0.000567,-3.246416941,1
Li2S,1E-13,-13,0
𝛾-Li3PS4,0.0000003,-6.522878745,0
Li4GeS4,0.0000002,-6.698970004,0
Li4GeO4,3.1E-12,-11.50863831,0
Li4SnS4,0.00007,-4.15490196,0
Li4SiO4,2.4E-10,-9.619788758,0
Li7P3S11,0.0041,-2.387216143,1
LiI,0.000001,-6,0
LiAlH4,8.7E-09,-8.060480747,0
LiBH4,0.00000002,-7.698970004,0
LiNH2,4E-10,-9.397940009,0
Li2NH 225,0.00025,-3.602059991,1
Li4BN3H10,0.0002,-3.698970004,1
Li3VO4,0.000000044,-7.356547324,0
Li6Br3N,0.000000186,-6.730487056,0
LiLaTi2O6 167,0.001,-3,1
Li4B7ClO12 ,0.000002,-5.698970004,0
LiZr2P3O12,0.00000005,-7.301029996,0
Li3ClO,0.00085,-3.070581074,1
Li6PS5Br ,0.00258,-2.588380294,1
Li6PS5Cl ,0.00315,-2.501689446,1
Li6PS5I ,0.0000001,-7,0
Li6PSe5I,0.00028,-3.552841969,1
Li10Ge(PS6)2 ,0.012,-1.920818754,1
Li10Si(PS6)2 ,0.0065,-2.187086643,1
Li10Sn(PS6)2 ,0.0055,-2.259637311,1
Li7La3Zr2O12,0.00000163,-5.787812396,0
Li3ErCl6,0.00031,-3.508638306,1
⍺-Na3PS4,0.00016,-3.795880017,1
β-Na3PS4,0.00046,-3.337242168,1
Na3PSe4,0.00116,-2.935542011,1
Na3SbS4,0.0015,-2.823908741,1
Li5La3Nb2O12,0.00001,-5,0
Li5La3Ta2O12,0.00000154,-5.812479279,0
Li2CaN2H2,0.0000064,-5.193820026,0
LiTi2P3O12,0.000000383,-6.416801226,0
LiPN2,8.17E-10,-9.087777943,0
LiGe2P3O12,6.2E-09,-8.207608311,0
Li2ZnI4,0.000000024,-7.619788758,0
NaAlH4,2.1E-10,-9.677780705,0
Li3AlH6,0.0000001,-7,0
Na3Zr2Si2PO12,0.001,-3,1